artist,title,date,classification,nationality,yearacquired,dimensions,blackartist,institution
Toyin Ojih Odutola,Birmingham (right),2014,Print,(American),2021.0,"sheet: 24 × 16 1/2"" (61 × 41.9 cm)",True,MoMA
Lola Flash,"Band AIDS, Provincetown, Massachusetts",1987,Photograph,(American),2021.0,"Approx. 24 × 20"" (61 × 50.8 cm)",True,MoMA
Lola Flash,"Boys Kissing, Provincetown, Massachusetts",c. 1988,Photograph,(American),2021.0,"Approx. 24 × 20"" (61 × 50.8 cm)",True,MoMA
Lola Flash,"Self-Portrait, Provincetown, Massachusetts",c. 1988,Photograph,(American),2021.0,"Approx. 24 × 20"" (61 × 50.8 cm)",True,MoMA
Lola Flash,"AIDS is Killing Artists, Self-Portrait, Provincetown, Massachusetts",c. 1990,Photograph,(American),2021.0,"Approx. 24 × 20"" (61 × 50.8 cm)",True,MoMA
Lola Flash,"Self-Portrait, New York City, New York",c. 1991,Photograph,(American),2021.0,"Approx. 24 × 20"" (61 × 50.8 cm)",True,MoMA
Lola Flash,"E is for Earth, Provincetown, Massachusetts",1993,Photograph,(American),2021.0,"Approx. 24 × 20"" (61 × 50.8 cm)",True,MoMA
Lola Flash,"U is for Upside-down, New York City, New York",1993,Photograph,(American),2021.0,"Approx. 24 × 20"" (61 × 50.8 cm)",True,MoMA
Lola Flash,"Band AIDS, Provincetown, Massachusetts",1987,Photograph,(American),2021.0,"Approx. 24 × 20"" (61 × 50.8 cm)",True,MoMA
Lola Flash,"Boys Kissing, Provincetown, Massachusetts",c. 1988,Photograph,(American),2021.0,"Approx. 24 × 20"" (61 × 50.8 cm)",True,MoMA
Lola Flash,"Self-Portrait, Provincetown, Massachusetts",c. 1988,Photograph,(American),2021.0,"Approx. 24 × 20"" (61 × 50.8 cm)",True,MoMA
Lola Flash,"AIDS is Killing Artists, Self-Portrait, Provincetown, Massachusetts",c. 1990,Photograph,(American),2021.0,"Approx. 24 × 20"" (61 × 50.8 cm)",True,MoMA
Lola Flash,"Self-Portrait, New York City, New York",c. 1991,Photograph,(American),2021.0,"Approx. 24 × 20"" (61 × 50.8 cm)",True,MoMA
Lola Flash,"E is for Earth, Provincetown, Massachusetts",1993,Photograph,(American),2021.0,"Approx. 24 × 20"" (61 × 50.8 cm)",True,MoMA
Lola Flash,"U is for Upside-down, New York City, New York",1993,Photograph,(American),2021.0,"Approx. 24 × 20"" (61 × 50.8 cm)",True,MoMA
Jeffrey Gibson,THE FUTURE IS PRESENT,2019,Print,(American),2021.0,"Frame: 40 1/2 × 36 5/8"" (102.9 × 93 cm)
Sheet: 38 × 34"" (96.5 × 86.4 cm)",True,MoMA
